wl	p
5.0	1.339317835548117
4.997501249375312	1.3028258653982172
4.995004995004995	1.3292841594976919
4.992511233150275	1.3462384683042483
4.99001996007984	1.3611723670275326
4.987531172069825	1.3484476590407086
4.985044865403789	1.3244922818130607
4.9825610363726955	1.3453173155309424
4.9800796812749	1.3404420524191167
4.977600796416127	1.3403307461639284
4.975124378109452	1.3364246622475098
4.972650422675286	1.3422459454978428
4.970178926441352	1.3453005681673749
4.967709885742672	1.3337534791433865
4.965243296921549	1.3582453118082378
4.962779156327543	1.3397692414450344
4.9603174603174605	1.320484687937145
4.957858205255329	1.3153769595248177
4.955401387512389	1.3335088356927185
4.952947003467063	1.3189079331158868
4.9504950495049505	1.303246433741541
4.948045522018803	1.3197409218338407
4.945598417408506	1.3155096348106246
4.9431537320810675	1.3347138244324952
4.940711462450593	1.3399579166538662
4.938271604938271	1.318155243895505
4.935834155972359	1.3580815509507524
4.93339911198816	1.3359457945780082
4.930966469428007	1.3527927346295094
4.928536224741252	1.336096885630777
4.926108374384236	1.340747554319493
4.923682914820286	1.307271268243187
4.921259842519684	1.3381889876433546
4.918839153959666	1.3534647867788578
4.916420845624385	1.343503336267501
4.914004914004914	1.3393459083114656
4.911591355599214	1.354406718060777
4.909180166912125	1.345881519860516
4.906771344455348	1.3334682398721471
4.904364884747425	1.3190247841244764
4.901960784313725	1.353388636420914
4.899559039686428	1.3537964476565398
4.8971596474045045	1.3132983912832425
4.894762604013705	1.372092193826249
4.892367906066537	1.3503298314519938
4.889975550122249	1.3681428900816204
4.887585532746823	1.3280915039029175
4.885197850512945	1.336337404541028
4.8828125	1.366645382250555
4.880429477794046	1.3618105585480176
4.878048780487805	1.369219511861736
4.875670404680643	1.307140877711589
4.873294346978557	1.3357708895308489
4.870920603994155	1.3514604876571832
4.868549172346641	1.3562796455217347
4.8661800486618	1.3453250154983905
4.863813229571984	1.3421381557012815
4.861448711716091	1.334267263027543
4.859086491739553	1.3600659958720667
4.856726566294317	1.3234691256129232
4.854368932038835	1.3503884622363138
4.85201358563804	1.359708786782803
4.849660523763336	1.3447514789287278
4.847309743092583	1.334229303809299
4.844961240310077	1.3401226283245493
4.842615012106537	1.3481198109960737
4.84027105517909	1.3437325195635614
4.837929366231252	1.3594363759255372
4.835589941972921	1.3368059428950478
4.833252779120348	1.3516213395817547
4.8309178743961345	1.3713140887687787
4.8285852245292125	1.360299197174736
4.826254826254826	1.363135624251227
4.82392667631452	1.3846959810514856
4.821600771456123	1.3683315038850243
4.8192771084337345	1.351313533623412
4.816955684007707	1.3345636737067
4.814636494944631	1.3504377203319655
4.8123195380173245	1.34712564759564
4.81000481000481	1.337852942646059
4.8076923076923075	1.3300114558188867
4.805382027871215	1.3283606606297522
4.803073967339097	1.3966146578848793
4.8007681228996635	1.3168049260963983
4.798464491362764	1.3501947766368938
4.796163069544364	1.3678793984221058
4.793863854266538	1.3284250546381493
4.791566842357451	1.321150892154456
4.7892720306513406	1.3294963376712563
4.786979415988511	1.354011641398366
4.78468899521531	1.3495658306330998
4.782400765184122	1.350345010926065
4.780114722753346	1.3458101344049067
4.777830864787386	1.3430247123398469
4.775549188156638	1.363447750061629
4.77326968973747	1.3409798628892342
4.770992366412213	1.3595582554574481
4.768717215069146	1.347522413354797
4.7664442326024785	1.3616888669332816
4.764173415912339	1.3722047578554595
4.761904761904762	1.3413440189895867
4.75963826749167	1.3747524394307722
4.757373929590866	1.3541453078167889
4.75511174512601	1.3511787458178526
4.752851711026616	1.3879639282992156
4.750593824228028	1.3332152497621175
4.748338081671415	1.3349861883656444
4.746084480303749	1.3659470649950207
4.743833017077798	1.331590876923622
4.74158368895211	1.3429384062621317
4.7393364928909945	1.3423068623766077
4.737091425864519	1.3152643162967523
4.734848484848485	1.3334091121615805
4.7326076668244195	1.352045921740117
4.7303689687795645	1.3489947611210586
4.7281323877068555	1.3592306577726836
4.725897920604915	1.3190564059058298
4.7236655644780345	1.3630559207495758
4.721435316336166	1.3664533678782822
4.719207173194903	1.3755204195854076
4.716981132075471	1.3310230915262395
4.714757190004715	1.3389265460618804
4.71253534401508	1.3137624381576736
4.710315591144607	1.37247038161888
4.708097928436912	1.3249706291219165
4.705882352941176	1.3746606765149554
4.703668861712135	1.334370650516727
4.701457451810061	1.3852510803195672
4.6992481203007515	1.3743700595434445
4.697040864255519	1.3237964226319252
4.694835680751173	1.3368425367707821
4.692632566870014	1.3793042484100866
4.690431519699812	1.373891568766927
4.6882325363338015	1.3815439508395582
4.686035613870665	1.3236455507710794
4.68384074941452	1.3500088475667518
4.681647940074906	1.3491066715906244
4.679457182966776	1.3133417540845294
4.677268475210477	1.3212777496718455
4.675081813931744	1.34842288602449
4.672897196261681	1.3176213585292933
4.670714619336758	1.3347436312210175
4.6685340802987865	1.3530150152380456
4.666355576294913	1.3476794981006905
4.664179104477612	1.3521110818385949
4.662004662004661	1.3675811483260558
4.659832246039143	1.3838150009944983
4.657661853749418	1.3289046209905215
4.655493482309124	1.3329272693240026
4.653327128897161	1.3340806013714828
4.651162790697675	1.3246296304412377
4.6490004649000465	1.3917782748198768
4.646840148698884	1.3141638600394727
4.644681839294008	1.3190346420487626
4.642525533890436	1.3351308659640955
4.640371229698376	1.3434642914402757
4.638218923933209	1.3403923976496213
4.6360686138154845	1.3962295763542294
4.633920296570898	1.3191056863357062
4.6317739694302915	1.3180309948889095
4.62962962962963	1.3578475806225219
4.627487274409995	1.3133820441153383
4.6253469010175765	1.3949130037202284
4.6232085067036515	1.3409722585240564
4.621072088724584	1.3282989694107266
4.618937644341801	1.3466491080289429
4.616805170821791	1.3860868945919589
4.614674665436087	1.3309480545276644
4.612546125461254	1.365710886499644
4.610419548178884	1.3432216717129446
4.6082949308755765	1.3397018648561936
4.606172270842929	1.3591828631172072
4.6040515653775325	1.321740913995265
4.601932811780948	1.3270543636500989
4.599816007359705	1.3933792632584259
4.597701149425287	1.3438774613920765
4.595588235294118	1.3264536499492896
4.593477262287552	1.338334014388085
4.591368227731864	1.3347445066968484
4.5892611289582375	1.3185345152745978
4.587155963302752	1.3401733884439915
4.585052728106373	1.3576202965821442
4.582951420714941	1.3442516680358885
4.580852038479157	1.355047365497002
4.5787545787545785	1.3758540726860702
4.576659038901602	1.3891762728270711
4.574565416285452	1.396615515673799
4.572473708276178	1.3396237122611556
4.570383912248628	1.364174100475143
4.568296025582457	1.3825682307409772
4.566210045662101	1.3544533121779638
4.564125969876768	1.3872827931496075
4.562043795620438	1.3818457318813937
4.559963520291837	1.3664260477264725
4.557885141294439	1.3729343101403997
4.555808656036446	1.3696103025366715
4.553734061930783	1.3201744120324437
4.551661356395084	1.3906810086243955
4.5495905368516825	1.3729778071578267
4.547521600727603	1.3949107648248247
4.545454545454546	1.3663881376103384
4.543389368468877	1.3509791382273884
4.541326067211625	1.326017211067595
4.539264639128461	1.340767968246787
4.537205081669692	1.3433382196883208
4.535147392290249	1.3315444470061109
4.533091568449683	1.3389918410546577
4.531037607612143	1.3552650370688364
4.528985507246376	1.3814245277087067
4.526935264825712	1.3342351777329822
4.524886877828054	1.3543399387784778
4.522840343735866	1.3393443340142477
4.520795660036166	1.3965600219884842
4.518752824220515	1.3714057063922065
4.5167118337850045	1.3273011431108461
4.514672686230249	1.347977096424637
4.512635379061371	1.39659755578566
4.510599909788001	1.3882024907707498
4.508566275924256	1.3356152406843664
4.506534474988733	1.3277215843541004
4.504504504504505	1.3614049490060653
4.502476361999099	1.3493014662279852
4.5004500450045	1.3590930671506296
4.49842555105713	1.3568172034780774
4.496402877697841	1.3949657200526442
4.49438202247191	1.3593122469100887
4.49236298292902	1.346728105646761
4.49034575662326	1.3419380755820867
4.488330341113106	1.3794034045165378
4.486316733961417	1.3637773383562868
4.484304932735426	1.3493133558631072
4.482294935006723	1.3643627055776635
4.480286738351254	1.3784247213862835
4.478280340349306	1.390114390467787
4.476275738585497	1.343487178724592
4.47427293064877	1.3764217592279344
4.472271914132379	1.3824795739360096
4.470272686633884	1.3494117566484864
4.468275245755138	1.3452356501944114
4.466279589102277	1.3379540638667378
4.464285714285714	1.3639614846269943
4.462293618920125	1.339483681632224
4.460303300624442	1.3601364464572454
4.458314757021846	1.3508084870027877
4.45632798573975	1.3359446190327766
4.4543429844097995	1.3509075834772013
4.452359750667854	1.3687500842060396
4.450378282153983	1.3306412607676557
4.448398576512456	1.3389720610299747
4.446420631391729	1.357806751840243
4.444444444444445	1.3914500556801388
4.4424700133274095	1.3865282532636591
4.440497335701599	1.3663992868126413
4.438526409232135	1.3588251156101692
4.436557231588287	1.3428647834460612
4.434589800443459	1.3873943887846363
4.4326241134751765	1.3664120805775388
4.430660168365086	1.3284507704821154
4.428697962798937	1.3724783390389659
4.426737494466578	1.3516909982844163
4.424778761061947	1.393336431926382
4.42282176028306	1.339288886390933
4.420866489832007	1.3843280045227078
4.418912947414936	1.3506994580329181
4.416961130742049	1.3502467329519299
4.415011037527593	1.3446804072319605
4.41306266548985	1.3326664283007048
4.411116012351124	1.3413691129022272
4.409171075837742	1.3964044514090757
4.407227853680035	1.367261944552236
